,winnerScore,loserScore,round,ct_tBuyRatio,ctWin,ct_startScore,ct_equipmentValue,ct_mapControl,ct_buy,ct_player_kpr,ct_player_dpr,ct_player_adr,ct_player_kast,ct_player_rating,ct_player_impact,ct_player_utility,t_startScore,t_equipmentValue,t_mapControl,t_buy,t_player_kpr,t_player_dpr,t_player_adr,t_player_kast,t_player_rating,t_player_impact,t_player_utility
59,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.0,1.0,37.3,0.0,-0.35,0.0,-0.25,2.0,21200.0,1.203782383836608,1.0,1.0,0.3333333333333333,137.0,100.0,1.95,1.5333333333333332,-0.25
60,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.0,1.0,23.7,0.0,-0.4,0.0,0.057499999999999996,2.0,21200.0,1.203782383836608,1.0,1.0,0.0,77.3,100.0,1.9,1.2,1.7591666666666668
61,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.0,1.0,23.7,0.0,-0.4,0.0,0.057499999999999996,2.0,21200.0,1.203782383836608,1.0,0.3333333333333333,0.3333333333333333,24.3,66.7,0.74,0.06666666666666667,0.3983333333333333
62,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.0,1.0,23.7,0.0,-0.4,0.0,0.057499999999999996,2.0,21200.0,1.203782383836608,1.0,2.0,0.0,157.3,100.0,3.02,1.4000000000000001,0.7091666666666666
63,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.0,1.0,23.7,0.0,-0.4,0.0,0.057499999999999996,2.0,21200.0,1.203782383836608,1.0,0.0,0.0,41.0,100.0,0.96,0.3333333333333333,2.33
64,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.0,1.0,23.7,0.0,-0.4,0.0,0.057499999999999996,2.0,21200.0,1.203782383836608,1.0,1.0,0.3333333333333333,137.0,100.0,1.95,1.5333333333333332,-0.25
65,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.0,1.0,42.3,33.3,-0.06,0.3333333333333333,-0.25,2.0,21200.0,1.203782383836608,1.0,1.0,0.0,77.3,100.0,1.9,1.2,1.7591666666666668
66,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.0,1.0,42.3,33.3,-0.06,0.3333333333333333,-0.25,2.0,21200.0,1.203782383836608,1.0,0.3333333333333333,0.3333333333333333,24.3,66.7,0.74,0.06666666666666667,0.3983333333333333
67,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.0,1.0,42.3,33.3,-0.06,0.3333333333333333,-0.25,2.0,21200.0,1.203782383836608,1.0,2.0,0.0,157.3,100.0,3.02,1.4000000000000001,0.7091666666666666
68,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.0,1.0,42.3,33.3,-0.06,0.3333333333333333,-0.25,2.0,21200.0,1.203782383836608,1.0,0.0,0.0,41.0,100.0,0.96,0.3333333333333333,2.33
69,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.0,1.0,42.3,33.3,-0.06,0.3333333333333333,-0.25,2.0,21200.0,1.203782383836608,1.0,1.0,0.3333333333333333,137.0,100.0,1.95,1.5333333333333332,-0.25
70,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.6666666666666666,0.3333333333333333,53.7,100.0,1.36,0.13333333333333333,0.75,2.0,21200.0,1.203782383836608,1.0,1.0,0.0,77.3,100.0,1.9,1.2,1.7591666666666668
71,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.6666666666666666,0.3333333333333333,53.7,100.0,1.36,0.13333333333333333,0.75,2.0,21200.0,1.203782383836608,1.0,0.3333333333333333,0.3333333333333333,24.3,66.7,0.74,0.06666666666666667,0.3983333333333333
72,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.6666666666666666,0.3333333333333333,53.7,100.0,1.36,0.13333333333333333,0.75,2.0,21200.0,1.203782383836608,1.0,2.0,0.0,157.3,100.0,3.02,1.4000000000000001,0.7091666666666666
73,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.6666666666666666,0.3333333333333333,53.7,100.0,1.36,0.13333333333333333,0.75,2.0,21200.0,1.203782383836608,1.0,0.0,0.0,41.0,100.0,0.96,0.3333333333333333,2.33
74,16.0,14.0,3.0,1.0,0.0,0.0,23250.0,0.796217616163392,1.0,0.6666666666666666,0.3333333333333333,53.7,100.0,1.36,0.13333333333333333,0.75,2.0,21200.0,1.203782383836608,1.0,1.0,0.3333333333333333,137.0,100.0,1.95,1.5333333333333332,-0.25
75,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.0,1.0,0.0,0.0,-0.47,0.0,1.115,3.0,26000.0,1.1612306440346258,1.0,1.25,0.0,95.0,100.0,2.18,1.25,1.288125
76,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.0,1.0,0.0,0.0,-0.47,0.0,1.115,3.0,26000.0,1.1612306440346258,1.0,0.5,0.25,43.2,75.0,1.05,0.1,0.2310416666666667
77,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.0,1.0,0.0,0.0,-0.47,0.0,1.115,3.0,26000.0,1.1612306440346258,1.0,1.75,0.0,156.0,100.0,2.83,1.6,0.6043750000000001
78,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.0,1.0,0.0,0.0,-0.47,0.0,1.115,3.0,26000.0,1.1612306440346258,1.0,0.0,0.25,30.8,100.0,0.78,0.25,1.56
